[664306.6710738267, 3552541.886418962]
[665787.764303067, 3555015.3396296855]
[676600.8574774159, 3554735.5811684653]
[664306.6710738267, 3552541.886418962]
[674011.1935332965, 3543721.6699821465]
[675160.5133211759, 3546490.3608977227]
[665725.5962680466, 3553891.5814141105]
[678304.4346702601, 3548230.4816123396]
[672453.2023808043, 3543029.2718505673]
[675160.5133211759, 3546490.3608977227]
[668290.2718254735, 3546797.469823606]
[665252.7922389341, 3547676.562991608]
[670179.6904887154, 3547123.1299416004]
[665291.9725244482, 3547832.6674501174]
[667620.682195968, 3544282.371304219]
[664306.6710738267, 3552541.886418962]
[666638.9326718666, 3544098.4319356685]
[664913.3076674553, 3570838.2699263487]
[679079.0882405262, 3548471.1965789543]
[671686.8274148277, 3563451.9672271847]
[668287.8099957007, 3551141.753415371]
[669140.5290057025, 3547081.2056780304]
[658463.2089081377, 3536638.975624043]
[674555.252509409, 3548486.2424886506]
[670759.7587876772, 3545275.304696428]
[666772.2752685422, 3553190.6450802917]
[681276.2404176038, 3559952.2964372076]
[670061.8738094622, 3550157.5140473447]
[664089.7193282377, 3540076.0847155587]
[669404.6436546135, 3554418.1528353705]
[656935.3917775707, 3548572.5637560957]
[661271.3821047088, 3544787.7457878306]
[672946.1730694678, 3546886.9499992356]
[672584.8961009895, 3545105.3070021905]
[669078.9392279622, 3550954.3207511576]
[664949.5805872512, 3547647.5371641405]
[670236.290276557, 3545997.6236812347]
[668401.2075787968, 3550671.409602339]
[670262.7353044299, 3546791.670458202]
[669884.7185567867, 3543262.7095865537]
[666716.9022148714, 3551684.532384348]
[668439.317148397, 3545694.254942246]
[678817.2999074163, 3555755.8655389166]
[666769.6863561083, 3551818.9308760203]
[675375.5513042574, 3538684.8116614115]
[671022.2492897556, 3542232.977332058]
[669567.0796265784, 3545775.7694800342]
[668425.498074621, 3548447.88216714]
[670234.3340998635, 3548527.52838926]
[672017.3181996248, 3549793.2841528663]
[666510.5726663412, 3540749.228459408]
[668541.8619275655, 3548613.178929209]
[670222.9407602116, 3548547.7627209085]
[666471.459198897, 3552388.7688609217]
[670727.4517307046, 3543807.223558468]
[675211.7647803335, 3533609.661114828]
[669636.255487741, 3554701.5182025065]
[666497.4358233584, 3546003.4962368864]
[679620.9971863278, 3549741.199403302]
[666040.4687429543, 3554088.1096447203]
[670733.8368027624, 3547004.0237873592]
[670125.5655362722, 3547970.7810251485]
[670469.1020538432, 3549268.6416682494]
[671159.4344874526, 3546024.95572355]
[678817.2999074163, 3555755.8655389166]
[678817.2999074163, 3555755.8655389166]
[681838.7917134266, 3550861.85585582]
[678084.0811080778, 3558979.0988371344]
[670214.6303789917, 3548206.731355725]
[666471.459198897, 3552388.7688609217]
[668716.7227175995, 3548705.770980364]
[678817.2999074163, 3555755.8655389166]
[681102.3162014729, 3555380.513512965]
[668547.4944129279, 3549092.025597249]
[666471.459198897, 3552388.7688609217]
[667994.7401154333, 3552179.8945475286]
[671481.2659299498, 3539042.322085111]
[666274.2739308517, 3553388.8514497722]
[673516.3622290122, 3556524.24502393]
[666492.6534687707, 3548746.9313686057]
[673697.1325832964, 3548292.37320802]
[676863.5372734452, 3557413.253151374]
[667978.2129805334, 3550876.199618615]
[672323.8373862001, 3545828.6255402677]
[678186.728526543, 3549833.658817799]
[667994.7401154333, 3552179.8945475286]
[678915.3801470224, 3556335.2450499334]
[667345.8816498913, 3548879.9003338735]
[672457.6306066208, 3546359.162320166]
[667870.0541593157, 3543772.6284198877]
[674011.1935332965, 3543721.6699821465]
[673585.7151616344, 3558961.1019294616]
[665261.2541689225, 3539096.523294348]
[666699.6989198655, 3548039.2018489656]
[662848.9863757279, 3543360.411777869]
[680017.309912666, 3554425.6617203313]
